fold_id,period,test_start,test_end,chronos_MAE,chronos_RMSE,naive_MAE,naive_RMSE,n_test
1,BASELINE,2022-01-04,2022-01-04,57.34209696451822,57.34209696451822,77.80958333333332,77.80958333333332,1
2,BASELINE,2022-01-11,2022-01-11,22.567294921875003,22.567294921875003,6.13833333333335,6.13833333333335,1
3,BASELINE,2022-01-18,2022-01-18,69.44733154296875,69.44733154296875,106.55541666666667,106.55541666666667,1
4,BASELINE,2022-01-25,2022-01-25,49.42685262044273,49.42685262044273,51.350833333333355,51.350833333333355,1
5,BASELINE,2022-02-01,2022-02-01,63.67592081705729,63.67592081705729,44.95541666666665,44.95541666666665,1
6,BASELINE,2022-02-08,2022-02-08,9.516214396158858,9.516214396158858,53.13208333333334,53.13208333333334,1
7,BASELINE,2022-02-15,2022-02-15,2.372880045572913,2.372880045572913,52.78083333333332,52.78083333333332,1
8,BASELINE,2022-02-22,2022-02-22,8.848225199381503,8.848225199381503,47.826666666666654,47.826666666666654,1
9,SHOCK_2022,2022-03-01,2022-03-01,36.50827514648438,36.50827514648438,33.10500000000002,33.10500000000002,1
10,SHOCK_2022,2022-03-08,2022-03-08,83.56521565755207,83.56521565755207,77.4733333333333,77.4733333333333,1
11,SHOCK_2022,2022-03-15,2022-03-15,25.921868896484398,25.921868896484398,19.097500000000025,19.097500000000025,1
12,SHOCK_2022,2022-03-22,2022-03-22,19.770089518229184,19.770089518229184,30.733749999999986,30.733749999999986,1
13,SHOCK_2022,2022-03-29,2022-03-29,12.843408610026046,12.843408610026046,28.612083333333345,28.612083333333345,1
14,SHOCK_2022,2022-04-05,2022-04-05,39.065563761393236,39.065563761393236,107.6975,107.6975,1
15,SHOCK_2022,2022-04-12,2022-04-12,26.271971435546874,26.271971435546874,39.025000000000006,39.025000000000006,1
16,SHOCK_2022,2022-04-19,2022-04-19,51.10071370442708,51.10071370442708,92.77333333333333,92.77333333333333,1
17,SHOCK_2022,2022-04-26,2022-04-26,16.16450968424479,16.16450968424479,15.004583333333358,15.004583333333358,1
18,SHOCK_2022,2022-05-03,2022-05-03,15.36376953125,15.36376953125,0.866250000000008,0.866250000000008,1
19,SHOCK_2022,2022-05-10,2022-05-10,53.99310913085938,53.99310913085938,33.491666666666674,33.491666666666674,1
20,SHOCK_2022,2022-05-17,2022-05-17,23.033331095377577,23.033331095377577,14.166666666666629,14.166666666666629,1
21,SHOCK_2022,2022-05-24,2022-05-24,35.518668823242194,35.518668823242194,25.192916666666633,25.192916666666633,1
22,SHOCK_2022,2022-05-31,2022-05-31,6.5147229003906375,6.5147229003906375,15.822916666666686,15.822916666666686,1
23,SHOCK_2022,2022-06-07,2022-06-07,54.057768351236945,54.057768351236945,92.55291666666663,92.55291666666663,1
24,SHOCK_2022,2022-06-14,2022-06-14,16.91549519856767,16.91549519856767,29.4166666666666,29.4166666666666,1
25,SHOCK_2022,2022-06-21,2022-06-21,34.89874267578125,34.89874267578125,21.22208333333333,21.22208333333333,1
26,SHOCK_2022,2022-06-28,2022-06-28,20.14804606119793,20.14804606119793,14.867916666666702,14.867916666666702,1
27,SHOCK_2022,2022-07-05,2022-07-05,7.837445882161489,7.837445882161489,24.482083333333378,24.482083333333378,1
