date,eua_eur_tco2
2021-01-29,33.510000
2021-02-01,32.660000
2021-02-02,33.200000
2021-02-03,38.000000
2021-02-04,36.510000
2021-02-05,37.610000
2021-02-08,38.620000
2021-02-09,37.580000
2021-02-10,37.700000
2021-02-11,39.620000
2021-02-12,37.800000
2021-02-15,39.820000
2021-02-16,40.190000
2021-02-17,38.420000
2021-02-18,38.010000
2021-02-19,38.360000
2021-02-22,36.840000
2021-02-23,37.500000
2021-02-24,38.420000
2021-02-25,38.880000
2021-02-26,37.510000
2021-03-01,37.660000
2021-03-02,37.250000
2021-03-03,37.560000
2021-03-04,36.900000
2021-03-05,38.080000
2021-03-08,38.410000
2021-03-09,39.400000
2021-03-10,41.000000
2021-03-11,40.920000
2021-03-12,41.520000
2021-03-15,42.840000
2021-03-16,41.920000
2021-03-17,41.520000
2021-03-18,43.350000
2021-03-19,41.910000
2021-03-22,41.800000
2021-03-23,41.770000
2021-03-24,40.940000
2021-03-25,40.690000
2021-03-26,40.860000
2021-03-29,40.710000
2021-03-30,42.250000
2021-03-31,42.260000
2021-04-01,42.040000
2021-04-06,43.050000
2021-04-07,43.630000
2021-04-08,43.450000
2021-04-09,43.180000
2021-04-12,43.860000
2021-04-13,44.100000
2021-04-14,43.900000
2021-04-15,43.990000
2021-04-16,44.500000
2021-04-19,44.660000
2021-04-20,44.200000
2021-04-21,44.850000
2021-04-22,46.600000
2021-04-23,46.410000
2021-04-26,47.240000
2021-04-27,46.550000
2021-04-28,48.000000
2021-04-29,47.250000
2021-04-30,47.680000
2021-05-04,49.330000
2021-05-05,48.620000
2021-05-06,49.450000
2021-05-07,49.460000
2021-05-10,51.810000
2021-05-11,51.590000
2021-05-12,53.950000
2021-05-17,55.570000
2021-05-18,55.530000
2021-05-19,52.120000
2021-05-20,50.840000
2021-05-21,52.710000
2021-05-25,53.090000
2021-05-26,54.070000
2021-05-27,52.110000
2021-05-28,51.080000
2021-06-01,52.580000
2021-06-02,51.500000
2021-06-03,51.900000
2021-06-04,49.550000
2021-06-07,48.560000
2021-06-08,52.030000
2021-06-09,53.700000
2021-06-10,53.300000
2021-06-11,53.120000
2021-06-14,53.600000
2021-06-15,51.180000
2021-06-16,50.830000
2021-06-17,50.840000
2021-06-18,51.510000
2021-06-21,52.090000
2021-06-22,52.970000
2021-06-23,53.620000
2021-06-24,54.850000
2021-06-25,55.690000
2021-06-28,55.060000
2021-06-29,55.390000
2021-06-30,55.570000
2021-07-01,58.010000
2021-07-02,57.110000
2021-07-05,57.910000
2021-07-06,57.150000
2021-07-07,53.980000
2021-07-08,51.090000
2021-07-09,53.850000
2021-07-12,52.500000
2021-07-13,52.440000
2021-07-14,52.000000
2021-07-15,52.280000
2021-07-16,53.330000
2021-07-19,53.550000
2021-07-20,51.740000
2021-07-21,51.700000
2021-07-22,51.440000
2021-07-23,50.130000
2021-07-26,51.790000
2021-07-27,52.800000
2021-07-28,53.450000
2021-07-29,54.020000
2021-07-30,53.000000
2021-08-02,54.600000
2021-08-03,54.170000
2021-08-04,55.000000
2021-08-05,54.840000
2021-08-06,56.720000
2021-08-09,56.000000
2021-08-10,57.100000
2021-08-11,56.690000
2021-08-12,57.360000
2021-08-13,55.600000
2021-08-16,57.180000
2021-08-17,57.400000
2021-08-18,57.700000
2021-08-19,55.810000
2021-08-20,54.400000
2021-08-23,55.950000
2021-08-24,55.720000
2021-08-25,56.630000
2021-08-26,55.610000
2021-08-27,57.510000
2021-08-31,60.110000
2021-09-01,61.290000
2021-09-03,61.250000
2021-09-06,62.870000
2021-09-07,61.710000
2021-09-08,61.930000
2021-09-09,61.980000
2021-09-10,61.850000
2021-09-13,61.910000
2021-09-14,61.510000
2021-09-15,60.320000
2021-09-16,59.890000
2021-09-17,59.600000
2021-09-20,58.560000
2021-09-21,60.310000
2021-09-22,60.020000
2021-09-23,59.450000
2021-09-24,61.240000
2021-09-27,64.000000
2021-09-28,65.000000
2021-09-29,61.830000
2021-09-30,61.370000
2021-10-01,62.040000
2021-10-04,63.560000
2021-10-05,63.660000
2021-10-06,61.360000
2021-10-07,58.990000
2021-10-08,59.920000
2021-10-11,59.330000
2021-10-12,58.860000
2021-10-13,59.630000
2021-10-14,59.430000
2021-10-15,61.010000
2021-10-18,58.850000
2021-10-19,57.580000
2021-10-20,56.000000
2021-10-21,57.100000
2021-10-22,59.500000
2021-10-25,58.940000
2021-10-26,58.960000
2021-10-27,58.920000
2021-10-28,58.930000
2021-10-29,59.400000
2021-11-01,59.980000
2021-11-02,57.800000
2021-11-03,59.780000
2021-11-04,59.810000
