date,portid,portname,n_total,n_tanker,n_cargo,capacity,capacity_tanker,capacity_cargo
2025-01-01,chokepoint6,Strait of Hormuz,75,41,34,2863166,2225748,637418
2025-01-02,chokepoint6,Strait of Hormuz,65,37,28,2573736,1743466,830269
2025-01-03,chokepoint6,Strait of Hormuz,67,37,30,3188496,2615342,573153
2025-01-04,chokepoint6,Strait of Hormuz,77,40,37,2900630,1557733,1342896
2025-01-05,chokepoint6,Strait of Hormuz,56,38,18,1851550,1457594,393956
2025-01-06,chokepoint6,Strait of Hormuz,54,25,29,1450968,564363,886605
2025-01-07,chokepoint6,Strait of Hormuz,63,34,29,2884952,1957933,927019
2025-01-08,chokepoint6,Strait of Hormuz,65,30,35,1942284,1083148,859136
2025-01-09,chokepoint6,Strait of Hormuz,64,37,27,2663159,1832266,830893
2025-01-10,chokepoint6,Strait of Hormuz,68,42,26,2661043,2050750,610293
2025-01-11,chokepoint6,Strait of Hormuz,80,49,31,3268762,2642729,626033
2025-01-12,chokepoint6,Strait of Hormuz,91,53,38,3813067,2919789,893278
2025-01-13,chokepoint6,Strait of Hormuz,64,38,26,2352411,1537924,814487
2025-01-14,chokepoint6,Strait of Hormuz,71,33,38,2220650,1433408,787242
2025-01-15,chokepoint6,Strait of Hormuz,66,33,33,2792939,1947788,845151
2025-01-16,chokepoint6,Strait of Hormuz,74,43,31,2434769,1650742,784027
2025-01-17,chokepoint6,Strait of Hormuz,76,46,30,3555557,2714135,841422
2025-01-18,chokepoint6,Strait of Hormuz,77,45,32,2740097,2236196,503901
2025-01-19,chokepoint6,Strait of Hormuz,65,32,33,2136392,1160028,976364
2025-01-20,chokepoint6,Strait of Hormuz,72,45,27,2300160,1665943,634216
2025-01-21,chokepoint6,Strait of Hormuz,71,38,33,2297933,1465745,832187
2025-01-22,chokepoint6,Strait of Hormuz,59,35,24,2617250,2133054,484195
2025-01-23,chokepoint6,Strait of Hormuz,62,41,21,2678134,1886518,791616
2025-01-24,chokepoint6,Strait of Hormuz,68,31,37,2832322,1654768,1177554
2025-01-25,chokepoint6,Strait of Hormuz,89,52,37,2913588,2177915,735672
2025-01-26,chokepoint6,Strait of Hormuz,79,54,25,2975340,2569602,405737
2025-01-27,chokepoint6,Strait of Hormuz,73,41,32,2099337,1073686,1025650
2025-01-28,chokepoint6,Strait of Hormuz,60,33,27,2189935,1458593,731341
2025-01-29,chokepoint6,Strait of Hormuz,83,48,35,2463689,1551214,912474
2025-01-30,chokepoint6,Strait of Hormuz,75,38,37,3341627,2554673,786954
2025-01-31,chokepoint6,Strait of Hormuz,78,46,32,2091899,1479761,612137
2025-02-01,chokepoint6,Strait of Hormuz,60,31,29,2302407,1439569,862838
2025-02-02,chokepoint6,Strait of Hormuz,59,40,19,1832543,1194124,638418
2025-02-03,chokepoint6,Strait of Hormuz,78,44,34,3291596,2068522,1223074
2025-02-04,chokepoint6,Strait of Hormuz,80,46,34,2245546,1475376,770169
2025-02-05,chokepoint6,Strait of Hormuz,62,35,27,1878992,1112829,766162
2025-02-06,chokepoint6,Strait of Hormuz,77,34,43,2542055,1493448,1048607
2025-02-07,chokepoint6,Strait of Hormuz,56,29,27,2041448,1309308,732140
2025-02-08,chokepoint6,Strait of Hormuz,60,33,27,2158574,1230252,928321
2025-02-09,chokepoint6,Strait of Hormuz,75,45,30,2149340,1623694,525645
2025-02-10,chokepoint6,Strait of Hormuz,66,45,21,3522982,2733106,789875
2025-02-11,chokepoint6,Strait of Hormuz,92,49,43,2553286,1912801,640484
2025-02-12,chokepoint6,Strait of Hormuz,100,59,41,4217636,3252718,964917
2025-02-13,chokepoint6,Strait of Hormuz,128,63,65,5045477,3211579,1833897
2025-02-14,chokepoint6,Strait of Hormuz,75,47,28,2955771,2390359,565412
2025-02-15,chokepoint6,Strait of Hormuz,70,38,32,2499695,1548888,950807
2025-02-16,chokepoint6,Strait of Hormuz,67,40,27,2971658,2411271,560387
2025-02-17,chokepoint6,Strait of Hormuz,64,33,31,2604457,1837081,767375
2025-02-18,chokepoint6,Strait of Hormuz,83,39,44,2793145,2101234,691911
2025-02-19,chokepoint6,Strait of Hormuz,76,43,33,2812889,2200837,612051
2025-02-20,chokepoint6,Strait of Hormuz,67,45,22,2391814,1661163,730651
2025-02-21,chokepoint6,Strait of Hormuz,83,40,43,3357262,1995161,1362100
2025-02-22,chokepoint6,Strait of Hormuz,114,65,49,4677146,3448889,1228256
2025-02-23,chokepoint6,Strait of Hormuz,78,40,38,1737320,856058,881261
2025-02-24,chokepoint6,Strait of Hormuz,68,40,28,2314503,1777190,537312
2025-02-25,chokepoint6,Strait of Hormuz,64,39,25,2571769,1593506,978263
2025-02-26,chokepoint6,Strait of Hormuz,37,20,17,1085133,784662,300471
2025-02-27,chokepoint6,Strait of Hormuz,70,38,32,1124019,623847,500172
2025-02-28,chokepoint6,Strait of Hormuz,60,35,25,2622145,1082888,1539256
2025-03-01,chokepoint6,Strait of Hormuz,65,36,29,2363447,1523394,840053
2025-03-02,chokepoint6,Strait of Hormuz,60,34,26,2781023,2047318,733704
2025-03-03,chokepoint6,Strait of Hormuz,74,54,20,3828684,3240590,588094
2025-03-04,chokepoint6,Strait of Hormuz,74,39,35,2698249,1544028,1154221
2025-03-05,chokepoint6,Strait of Hormuz,71,40,31,2735751,1855781,879970
2025-03-06,chokepoint6,Strait of Hormuz,105,68,37,4049122,3273775,775347
2025-03-07,chokepoint6,Strait of Hormuz,82,56,26,2614493,1956564,657929
2025-03-08,chokepoint6,Strait of Hormuz,104,68,36,3691567,2759723,931843
2025-03-09,chokepoint6,Strait of Hormuz,63,36,27,2239097,1750104,488993
2025-03-10,chokepoint6,Strait of Hormuz,82,46,36,4326212,3440936,885275
2025-03-11,chokepoint6,Strait of Hormuz,74,37,37,3676423,2567557,1108866
2025-03-12,chokepoint6,Strait of Hormuz,94,55,39,3633758,2365327,1268430
2025-03-13,chokepoint6,Strait of Hormuz,79,44,35,2600664,1904997,695667
2025-03-14,chokepoint6,Strait of Hormuz,94,41,53,3711298,1654456,2056842
2025-03-15,chokepoint6,Strait of Hormuz,77,45,32,2373548,1660592,712956
2025-03-16,chokepoint6,Strait of Hormuz,109,62,47,4160208,2910303,1249904
2025-03-17,chokepoint6,Strait of Hormuz,76,35,41,2806213,1736797,1069416
2025-03-18,chokepoint6,Strait of Hormuz,83,46,37,3508262,2893943,614318
2025-03-19,chokepoint6,Strait of Hormuz,81,45,36,2656177,1497961,1158215
2025-03-20,chokepoint6,Strait of Hormuz,113,70,43,5091994,3637372,1454621
2025-03-21,chokepoint6,Strait of Hormuz,91,55,36,2747495,1966341,781153
2025-03-22,chokepoint6,Strait of Hormuz,85,53,32,3676275,2945525,730749
2025-03-23,chokepoint6,Strait of Hormuz,79,40,39,2931585,1730454,1201131
2025-03-24,chokepoint6,Strait of Hormuz,76,41,35,2790214,1634613,1155601
2025-03-25,chokepoint6,Strait of Hormuz,61,36,25,1415305,824950,590355
2025-03-26,chokepoint6,Strait of Hormuz,56,24,32,1601148,817854,783294
2025-03-27,chokepoint6,Strait of Hormuz,64,34,30,3776666,2670274,1106391
2025-03-28,chokepoint6,Strait of Hormuz,115,64,51,4168589,2716538,1452051
2025-03-29,chokepoint6,Strait of Hormuz,110,68,42,4090010,2944362,1145647
2025-03-30,chokepoint6,Strait of Hormuz,99,66,33,3242336,2403544,838791
2025-03-31,chokepoint6,Strait of Hormuz,101,54,47,3801096,2818174,982922
2025-04-01,chokepoint6,Strait of Hormuz,117,62,55,4328694,3025459,1303234
2025-04-02,chokepoint6,Strait of Hormuz,115,60,55,3410613,2544880,865732
