datetime,wind_offshore_mwh,wind_onshore_mwh,solar_mwh
2020-12-31 23:00:00+00:00,383.0,3936.75,1.0
2021-01-01 00:00:00+00:00,394.5,3536.5,1.0
2021-01-01 01:00:00+00:00,305.25,3204.5,1.0
2021-01-01 02:00:00+00:00,319.25,2775.0,1.0
2021-01-01 03:00:00+00:00,296.25,2469.25,1.0
2021-01-01 04:00:00+00:00,432.0,2124.75,1.0
2021-01-01 05:00:00+00:00,510.25,2013.75,1.0
2021-01-01 06:00:00+00:00,389.25,1969.75,1.25
2021-01-01 07:00:00+00:00,359.5,2072.75,191.75
2021-01-01 08:00:00+00:00,248.25,2122.5,1335.25
2021-01-01 09:00:00+00:00,446.75,1913.0,2939.5
2021-01-01 10:00:00+00:00,557.5,1617.75,4215.75
2021-01-01 11:00:00+00:00,668.75,1306.75,4762.25
2021-01-01 12:00:00+00:00,836.25,1138.5,4152.75
2021-01-01 13:00:00+00:00,800.25,1231.5,2657.0
2021-01-01 14:00:00+00:00,668.25,1548.75,910.25
2021-01-01 15:00:00+00:00,832.5,2136.25,42.5
2021-01-01 16:00:00+00:00,751.5,2917.75,1.0
2021-01-01 17:00:00+00:00,700.25,3548.5,1.0
2021-01-01 18:00:00+00:00,778.25,3912.25,1.0
2021-01-01 19:00:00+00:00,723.25,4179.25,1.0
2021-01-01 20:00:00+00:00,642.25,4385.5,1.0
2021-01-01 21:00:00+00:00,841.0,4658.75,1.0
2021-01-01 22:00:00+00:00,590.0,4601.5,1.0
2021-01-01 23:00:00+00:00,424.5,4502.5,1.0
2021-01-02 00:00:00+00:00,432.5,4310.75,1.0
2021-01-02 01:00:00+00:00,562.25,4087.25,1.0
2021-01-02 02:00:00+00:00,405.75,4069.5,1.0
2021-01-02 03:00:00+00:00,317.0,3964.0,1.0
2021-01-02 04:00:00+00:00,389.0,3592.5,1.0
2021-01-02 05:00:00+00:00,507.25,3298.0,1.0
2021-01-02 06:00:00+00:00,621.0,2947.25,1.0
2021-01-02 07:00:00+00:00,452.25,2665.0,155.75
2021-01-02 08:00:00+00:00,348.5,2273.75,985.5
2021-01-02 09:00:00+00:00,287.25,1740.75,2177.0
2021-01-02 10:00:00+00:00,277.25,1309.25,3274.5
