fold_id,period,n_selected,n_total,geo_features_kept,news_features_kept,alpha
1,BASELINE,27,107,4,0,1.2460136762913525
2,BASELINE,25,107,5,0,1.161085499892079
3,BASELINE,16,107,1,0,1.9212658939490834
4,BASELINE,21,107,3,0,1.801492345017512
5,BASELINE,19,107,1,0,1.5695318136319314
6,BASELINE,20,107,1,0,1.179146478100813
7,BASELINE,21,107,1,0,1.2591553884813125
8,BASELINE,16,107,0,0,1.6484092923753768
9,SHOCK_2022,27,107,3,0,0.7121062392973299
10,SHOCK_2022,22,107,3,0,0.8447607641429784
11,SHOCK_2022,16,107,2,0,1.3533877375230423
12,SHOCK_2022,13,107,2,0,1.678445241922248
13,SHOCK_2022,15,107,2,0,1.1985915755207364
14,SHOCK_2022,17,107,3,0,1.2024616696981973
15,SHOCK_2022,11,107,2,0,1.9365673874622353
16,SHOCK_2022,10,107,2,0,2.3861314145043
17,SHOCK_2022,11,107,3,0,2.2149541130958177
18,SHOCK_2022,11,107,3,0,2.3956977939596626
19,SHOCK_2022,11,107,3,0,2.4110012714071747
20,SHOCK_2022,11,107,3,0,2.401855932430741
21,SHOCK_2022,12,107,4,0,2.3988954791776043
22,SHOCK_2022,11,107,3,0,2.384088598605575
23,SHOCK_2022,12,107,4,0,2.2199658958399326
24,SHOCK_2022,13,107,4,0,2.0591432079443512
25,SHOCK_2022,13,107,4,0,2.0631392962973076
26,SHOCK_2022,18,107,3,0,1.2964752492361142
27,SHOCK_2022,18,107,3,0,1.3310379567854118
28,SHOCK_2022,22,107,4,0,0.9438868857192803
29,SHOCK_2022,18,107,3,0,1.3824767112507828
30,SHOCK_2022,19,107,3,0,1.2534933075114196
31,SHOCK_2022,9,107,0,0,2.16345278404057
32,SHOCK_2022,10,107,0,0,2.0803023171525163
33,SHOCK_2022,10,107,0,0,2.1575749388585934
34,SHOCK_2022,37,107,4,0,0.28837522825384576
35,SHOCK_2022,13,107,0,0,1.9675997675276016
36,SHOCK_2022,11,107,0,0,2.0606656857971015
37,SHOCK_2022,11,107,0,0,2.1084939442162844
38,SHOCK_2022,10,107,0,0,2.2671171339268805
39,SHOCK_2022,11,107,0,0,2.1318350858816104
40,SHOCK_2022,11,107,0,0,2.1320787413731552
41,SHOCK_2022,11,107,0,0,2.27242872254678
42,SHOCK_2022,11,107,0,0,2.4265308062563316
43,SHOCK_2022,13,107,0,0,2.4146496491314267
44,SHOCK_2022,12,107,0,0,2.4040222434012883
45,SHOCK_2022,10,107,0,0,2.7530011281087408
46,SHOCK_2022,9,107,0,0,2.7396446613958547
47,SHOCK_2022,9,107,0,0,2.726570050635019
48,SHOCK_2022,9,107,0,0,2.9097124981776
49,SHOCK_2022,8,107,0,0,2.9327172108481525
50,SHOCK_2022,8,107,0,0,2.767207977904012
51,SHOCK_2022,9,107,0,0,3.211225159163888
52,SHOCK_2022,11,107,0,0,2.419319858152682
53,SHOCK_2022,9,107,0,0,2.596440868306451
54,SHOCK_2022,8,107,0,0,2.77391078165479
55,SHOCK_2022,7,107,0,0,3.413725765596467
56,SHOCK_2022,8,107,0,0,2.955041389889707
57,SHOCK_2022,10,107,0,0,2.386790008456959
58,SHOCK_2022,8,107,0,0,2.7324649517548347
59,SHOCK_2022,10,107,0,0,2.366273680521327
60,SHOCK_2022,19,107,1,0,1.2583809691180579
61,BASELINE,20,107,1,0,1.0899405411913299
62,BASELINE,20,107,1,0,1.0853900069224967
63,BASELINE,21,107,1,0,0.9410756516065287
64,BASELINE,20,107,1,0,1.0057915262755996
65,BASELINE,21,107,1,0,0.9367493360739398
66,BASELINE,21,107,1,0,0.9342854880081339
67,BASELINE,21,107,1,0,0.9312416743619302
68,BASELINE,20,107,1,0,0.9954229984632502
69,BASELINE,20,107,1,0,1.0644145653458894
70,BASELINE,17,107,1,0,1.4031764839600014
71,BASELINE,19,107,1,0,1.3051656049983613
72,BASELINE,19,107,1,0,1.30153748911893
73,BASELINE,18,107,1,0,1.3933585135800035
74,BASELINE,17,107,1,0,1.4928906995104816
75,BASELINE,18,107,1,0,1.3898938706336348
76,BASELINE,20,107,1,0,0.9785942568106515
77,BASELINE,25,107,2,0,0.5582323970745269
78,BASELINE,19,107,1,0,1.1991277394997897
79,BASELINE,18,107,1,0,1.2835787015246911
80,BASELINE,20,107,1,0,1.1134921579647805
81,BASELINE,20,107,1,0,1.1919518984359279
