period,cause,cause_available_column,availability_lag_days,granger_lag_interpretation,label,lag,F,p_raw,p_adj,significant,n,n_calendar_complete,calendar_days_in_subperiod
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),1,0.1698,0.6806,1.0,False,288,288,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),2,0.1822,0.8336,1.0,False,267,267,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),3,0.2166,0.8848,1.0,False,252,252,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),4,0.1554,0.9604,1.0,False,243,243,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),5,0.6527,0.6597,1.0,False,235,235,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),6,0.648,0.6917,1.0,False,228,228,364
NEWS-AVAILABLE WINDOW,guardian_sentiment_mean,guardian_sentiment_mean__available_d2,2,reported lag L uses raw external information at t-(L+2),News sentiment (tone),7,0.6487,0.7152,1.0,False,222,222,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),1,6.0156,0.0148,0.0591,False,288,288,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),2,2.7291,0.0671,0.1343,False,267,267,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),3,5.7798,0.0008,0.0055,True,252,252,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),4,3.1367,0.0154,0.0591,False,243,243,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),5,1.168,0.3258,0.3258,False,235,235,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),6,3.2876,0.0041,0.0204,True,228,228,364
NEWS-AVAILABLE WINDOW,guardian_article_count,guardian_article_count__available_d2,2,reported lag L uses raw external information at t-(L+2),News volume (coverage intensity),7,3.4552,0.0016,0.0096,True,222,222,364
NEWS-AVAILABLE WINDOW,gpr_daily,gpr_daily__available_d2,2,reported lag L uses raw external information at t-(L+2),Geopolitical risk index,1,3.1742,0.0757,0.1513,False,362,362,364
