event_date,event,series,CAR,CAR_standardised,n_days
2026-02-28,United States and Israel begin strikes against Iran; the conflict star,smard_mean,35.78,0.593,7
2026-02-28,United States and Israel begin strikes against Iran; the conflict star,ttf_eur_mwh,18.05,5.088,7
2026-02-28,United States and Israel begin strikes against Iran; the conflict star,DCOILBRENTEU,15.87,4.952,7
2026-04-07,A two-week ceasefire agreement is reached. | The United States begins ,smard_mean,92.01,1.187,7
2026-04-07,A two-week ceasefire agreement is reached. | The United States begins ,ttf_eur_mwh,-7.37,-0.896,7
2026-04-07,A two-week ceasefire agreement is reached. | The United States begins ,DCOILBRENTEU,-14.06,-1.3,7
2026-06-15,The United States and Iran reach an initial agreement to open the Stra,smard_mean,63.3,0.704,7
2026-06-15,The United States and Iran reach an initial agreement to open the Stra,ttf_eur_mwh,-5.3,-1.447,7
2026-06-15,The United States and Iran reach an initial agreement to open the Stra,DCOILBRENTEU,-5.27,-0.508,7
2026-07-06,Iran strikes three commercial vessels that had bypassed its Iran-appro,smard_mean,9.11,0.102,7
2026-07-06,Iran strikes three commercial vessels that had bypassed its Iran-appro,ttf_eur_mwh,4.68,1.387,7
2026-07-06,Iran strikes three commercial vessels that had bypassed its Iran-appro,DCOILBRENTEU,11.24,1.571,7
