outcome,donor,weight
mean,FR,0.032401170735749815
mean,CH,0.3034375229939466
mean,NO2,1.997642502804542e-17
mean,SE4,0.0
mean,DK1,0.6207643247945251
mean,DK2,0.04339698147577855
peak,FR,0.0
peak,CH,0.29955894948127415
peak,NO2,6.258272932894376e-17
peak,SE4,0.0
peak,DK1,0.5731499622313738
peak,DK2,0.12729108828735197
offpeak,FR,0.04967924931584069
offpeak,CH,0.24768266024662355
offpeak,NO2,1.3168821230962607e-17
offpeak,SE4,1.9263646802930925e-17
offpeak,DK1,0.6962197838814882
offpeak,DK2,0.0064183065560476605
volatility,FR,0.07807409601007136
volatility,CH,0.007378357749313649
volatility,NO2,0.0
volatility,SE4,0.0
volatility,DK1,0.8675172155546977
volatility,DK2,0.0470303306859173
negative,FR,0.30110154679316303
negative,CH,0.0036924788056233973
negative,NO2,0.0
negative,SE4,1.927169361592984e-17
negative,DK1,0.6952059744012136
negative,DK2,5.5429836068321414e-17
high_tail,FR,0.032445577378774286
high_tail,CH,0.03799851709184561
high_tail,NO2,0.27582671134010156
high_tail,SE4,0.0400755892331661
high_tail,DK1,0.4131422110590652
high_tail,DK2,0.2005113938970473
