date,smard_mean,smard_min,smard_max,smard_std,DCOILBRENTEU,DCOILBRENTEU_imputed,DEXUSEU,DEXUSEU_imputed,gpr_daily,gpr_daily_imputed,ttf_eur_mwh,ttf_eur_mwh_imputed,wind_offshore_mwh,wind_onshore_mwh,solar_mwh,renewable_output_mwh,dunkelflaute_flag,guardian_sentiment_mean,guardian_sentiment_min,guardian_sentiment_max,guardian_article_count,sentiment_available,smard_mean_outlier_flag,DCOILBRENTEU_outlier_flag,smard_mean_lag1,smard_mean_lag2,smard_mean_lag3,smard_mean_lag4,smard_mean_lag5,smard_mean_lag6,smard_mean_lag7,DCOILBRENTEU_lag1,DCOILBRENTEU_lag2,DCOILBRENTEU_lag3,DCOILBRENTEU_lag4,DCOILBRENTEU_lag5,DCOILBRENTEU_lag6,DCOILBRENTEU_lag7,DEXUSEU_lag1,DEXUSEU_lag2,DEXUSEU_lag3,DEXUSEU_lag4,DEXUSEU_lag5,DEXUSEU_lag6,DEXUSEU_lag7,ttf_eur_mwh_lag1,ttf_eur_mwh_lag2,ttf_eur_mwh_lag3,ttf_eur_mwh_lag4,ttf_eur_mwh_lag5,ttf_eur_mwh_lag6,ttf_eur_mwh_lag7,renewable_output_mwh_lag1,renewable_output_mwh_lag2,renewable_output_mwh_lag3,renewable_output_mwh_lag4,renewable_output_mwh_lag5,renewable_output_mwh_lag6,renewable_output_mwh_lag7,dunkelflaute_flag_lag1,dunkelflaute_flag_lag2,dunkelflaute_flag_lag3,dunkelflaute_flag_lag4,dunkelflaute_flag_lag5,dunkelflaute_flag_lag6,dunkelflaute_flag_lag7,sentiment_available_lag1,sentiment_available_lag2,sentiment_available_lag3,sentiment_available_lag4,sentiment_available_lag5,sentiment_available_lag6,sentiment_available_lag7,gpr_daily_lag1,gpr_daily_lag2,gpr_daily_lag3,gpr_daily_lag4,gpr_daily_lag5,gpr_daily_lag6,gpr_daily_lag7,guardian_sentiment_mean_lag1,guardian_sentiment_mean_lag2,guardian_sentiment_mean_lag3,guardian_sentiment_mean_lag4,guardian_sentiment_mean_lag5,guardian_sentiment_mean_lag6,guardian_sentiment_mean_lag7,guardian_sentiment_min_lag1,guardian_sentiment_min_lag2,guardian_sentiment_min_lag3,guardian_sentiment_min_lag4,guardian_sentiment_min_lag5,guardian_sentiment_min_lag6,guardian_sentiment_min_lag7,guardian_sentiment_max_lag1,guardian_sentiment_max_lag2,guardian_sentiment_max_lag3,guardian_sentiment_max_lag4,guardian_sentiment_max_lag5,guardian_sentiment_max_lag6,guardian_sentiment_max_lag7,guardian_article_count_lag1,guardian_article_count_lag2,guardian_article_count_lag3,guardian_article_count_lag4,guardian_article_count_lag5,guardian_article_count_lag6,guardian_article_count_lag7,smard_mean_vol7d,smard_mean_vol30d,DCOILBRENTEU_vol7d,DCOILBRENTEU_vol30d,ttf_eur_mwh_vol7d,ttf_eur_mwh_vol30d,day_of_week,month,is_weekend,is_holiday,hormuz_state,state_evidence,state_event_id,state_open,state_restricted,state_severely_restricted,ttf_return,power_return,ttf_change,weekday
2021-01-04,48.01791666666667,24.65,66.82,14.267745923301412,50.37,0,1.2254,0,99.32736206054688,0,19.845,0,121213.5,267872.25,5223.5,394309.25,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,,,,0
2021-01-05,55.33708333333333,37.54,67.14,10.454764871315506,53.16,0,1.2295,0,121.8519515991211,0,18.005,0,139903.25,226306.75,5851.25,372061.25,0,,,,,0,0,0,48.01791666666667,,,,,,,50.37,,,,,,,1.2254,,,,,,,19.845,,,,,,,394309.25,,,,,,,0.0,,,,,,,0.0,,,,,,,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,-9.271856890904505,7.319166666666661,-1.8399999999999999,1
2021-01-06,52.68291666666667,42.15,61.92,7.071093931214459,53.8,0,1.229,0,106.57054138183594,0,17.565,0,87956.75,138608.75,6908.5,233474.0,0,,,,,0,0,0,55.33708333333333,48.01791666666667,,,,,,53.16,50.37,,,,,,1.2295,1.2254,,,,,,18.005,19.845,,,,,,372061.25,394309.25,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,-2.4437656206609204,-2.6541666666666615,-0.4399999999999977,2
2021-01-07,70.92708333333333,46.72,100.0,17.600124623858846,53.7,0,1.2265,0,54.23599624633789,0,19.305,0,23912.0,120004.25,7875.0,151791.25,0,,,,,0,0,0,52.68291666666667,55.33708333333333,48.01791666666667,,,,,53.8,53.16,50.37,,,,,1.229,1.2295,1.2254,,,,,17.565,18.005,19.845,,,,,233474.0,372061.25,394309.25,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,106.57054138183594,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,9.906063193851388,18.244166666666658,1.7399999999999984,3
2021-01-08,78.33624999999999,45.61,110.45,24.998412612647503,55.51,0,1.2252,0,77.7395248413086,0,20.12,0,22332.75,100123.5,8918.0,131374.25,0,,,,,0,0,0,70.92708333333333,52.68291666666667,55.33708333333333,48.01791666666667,,,,53.7,53.8,53.16,50.37,,,,1.2265,1.229,1.2295,1.2254,,,,19.305,17.565,18.005,19.845,,,,151791.25,233474.0,372061.25,394309.25,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,54.23599624633789,106.57054138183594,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,4.2217042217042255,7.409166666666664,0.8150000000000013,4
2021-01-09,59.31875,49.1,71.99,7.430057236891127,55.51,1,1.2252,1,84.59059143066406,0,20.12,1,7733.25,57788.0,15206.25,80727.5,0,,,,,0,0,0,78.33624999999999,70.92708333333333,52.68291666666667,55.33708333333333,48.01791666666667,,,55.51,53.7,53.8,53.16,50.37,,,1.2252,1.2265,1.229,1.2295,1.2254,,,20.12,19.305,17.565,18.005,19.845,,,131374.25,151791.25,233474.0,372061.25,394309.25,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,77.7395248413086,54.23599624633789,106.57054138183594,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,0,open,pre-event baseline (not a physical closure claim),,1,0,0,0.0,-19.01749999999999,0.0,5
2021-01-10,52.16458333333333,37.24,63.41,5.773867650451258,55.51,1,1.2252,1,70.81498718261719,0,20.12,1,80347.0,159122.0,28456.0,267925.0,0,,,,,0,0,0,59.31875,78.33624999999999,70.92708333333333,52.68291666666667,55.33708333333333,48.01791666666667,,55.51,55.51,53.7,53.8,53.16,50.37,,1.2252,1.2252,1.2265,1.229,1.2295,1.2254,,20.12,20.12,19.305,17.565,18.005,19.845,,80727.5,131374.25,151791.25,233474.0,372061.25,394309.25,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,84.59059143066406,77.7395248413086,54.23599624633789,106.57054138183594,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,0,open,pre-event baseline (not a physical closure claim),,1,0,0,0.0,-7.154166666666669,0.0,6
2021-01-11,48.1525,27.39,70.59,9.841934791227928,54.84,0,1.2169,0,84.14276123046875,0,22.125,0,118596.25,532421.25,21639.5,672657.0,0,,,,,0,0,0,52.16458333333333,59.31875,78.33624999999999,70.92708333333333,52.68291666666667,55.33708333333333,48.01791666666667,55.51,55.51,55.51,53.7,53.8,53.16,50.37,1.2252,1.2252,1.2252,1.2265,1.229,1.2295,1.2254,20.12,20.12,20.12,19.305,17.565,18.005,19.845,267925.0,80727.5,131374.25,151791.25,233474.0,372061.25,394309.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.81498718261719,84.59059143066406,77.7395248413086,54.23599624633789,106.57054138183594,121.8519515991211,99.32736206054688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.066864243909455,,,,,,0,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,9.965208747514897,-4.0120833333333294,2.004999999999999,0
2021-01-12,46.10041666666667,15.82,64.6,15.45545084067126,55.98,0,1.2168,0,169.87527465820312,0,26.155,0,121897.0,597616.0,11351.25,730864.25,0,,,,,0,0,0,48.1525,52.16458333333333,59.31875,78.33624999999999,70.92708333333333,52.68291666666667,55.33708333333333,54.84,55.51,55.51,55.51,53.7,53.8,53.16,1.2169,1.2252,1.2252,1.2252,1.2265,1.229,1.2295,22.125,20.12,20.12,20.12,19.305,17.565,18.005,672657.0,267925.0,80727.5,131374.25,151791.25,233474.0,372061.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.14276123046875,70.81498718261719,84.59059143066406,77.7395248413086,54.23599624633789,106.57054138183594,121.8519515991211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.043602169760034,,1.8630236560111464,,1.0802347628442357,,1,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,18.214689265536734,-2.0520833333333357,4.030000000000001,1
2021-01-13,42.47208333333334,30.84,56.14,7.275467998792195,55.52,0,1.2159,0,66.500732421875,0,21.5,0,142071.0,686782.75,22919.75,851773.5,0,,,,,0,0,0,46.10041666666667,48.1525,52.16458333333333,59.31875,78.33624999999999,70.92708333333333,52.68291666666667,55.98,54.84,55.51,55.51,55.51,53.7,53.8,1.2168,1.2169,1.2252,1.2252,1.2252,1.2265,1.229,26.155,22.125,20.12,20.12,20.12,19.305,17.565,730864.25,672657.0,267925.0,80727.5,131374.25,151791.25,233474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.87527465820312,84.14276123046875,70.81498718261719,84.59059143066406,77.7395248413086,54.23599624633789,106.57054138183594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13056779959381,,1.005101274214978,,1.525092503049288,,2,1,0,0,open,pre-event baseline (not a physical closure claim),,1,0,0,-17.797744217166887,-3.6283333333333303,-4.655000000000001,2
