outcome,exposure,horizon_days,coefficient,se,p_value,ci_low,ci_high,n,p_value_holm,significant_holm
ttf_eur_mwh,d_shortfall,0,0.4823664639842599,0.7038814540487194,0.49315776574663306,-0.8972158353369151,1.861948763305435,601,1.0,False
ttf_eur_mwh,d_shortfall,1,1.52171892787414,1.6125334096604187,0.3453321195421155,-1.6387884789278533,4.682226334676134,600,1.0,False
ttf_eur_mwh,d_shortfall,2,2.354634565996297,2.2853288334596025,0.30285682328766916,-2.124527640415459,6.833796772408053,599,1.0,False
ttf_eur_mwh,d_shortfall,3,2.7093373638913887,2.412340711019737,0.2613884228432216,-2.0187635481470414,7.437438275929819,598,1.0,False
ttf_eur_mwh,d_shortfall,4,3.532110809125737,2.83721672141287,0.21316077380148835,-2.0287317811783008,9.092953399429774,597,1.0,False
ttf_eur_mwh,d_shortfall,5,3.6754839999240714,2.9743271623280068,0.21655660508939378,-2.1540901164780406,9.505058116326182,596,1.0,False
ttf_eur_mwh,d_shortfall,6,3.746695894071689,3.0443531681076323,0.2184338037981456,-2.2201266716396835,9.713518459783062,595,1.0,False
ttf_eur_mwh,d_shortfall,7,4.125896413715253,3.2465702761804147,0.20378283044951628,-2.237264400876616,10.489057228307122,594,1.0,False
ttf_eur_mwh,d_shortfall,8,3.7382862201085834,3.237736086493962,0.24825475579873546,-2.607559900865244,10.08413234108241,593,1.0,False
ttf_eur_mwh,d_shortfall,9,3.0298157353016575,2.701149113924147,0.26199997231970606,-2.2643392448619504,8.323970715465265,592,1.0,False
ttf_eur_mwh,d_shortfall,10,3.157279253622126,2.9074778310542357,0.2775157682909145,-2.541272581092808,8.855831088337059,591,1.0,False
ttf_eur_mwh,d_shortfall,11,3.4477850944228283,2.6657789263160985,0.19589004520593944,-1.7770455919025796,8.672615780748236,590,1.0,False
ttf_eur_mwh,d_shortfall,12,2.992100663221571,2.670605840407089,0.2625507009732325,-2.2421906008786467,8.226391927321789,589,1.0,False
ttf_eur_mwh,d_shortfall,13,2.4024830716687195,2.6527618509662223,0.36511927861533566,-2.7968346157868864,7.601800759124325,588,1.0,False
ttf_eur_mwh,d_shortfall,14,2.4246397520126637,2.581478074813973,0.34760509350347646,-2.634964301502518,7.4842438055278455,587,1.0,False
smard_mean,d_shortfall,0,0.43356124971441257,9.402885951330127,0.963223069100315,-17.99575656563028,18.862879065059104,601,1.0,False
smard_mean,d_shortfall,1,9.179274150468316,10.788132702090492,0.3948428239097608,-11.965077406067824,30.323625707004457,600,1.0,False
smard_mean,d_shortfall,2,33.663908361093206,11.689572511480613,0.003978975594679315,10.752767243921777,56.57504947826463,599,0.11936926784037946,False
smard_mean,d_shortfall,3,15.17186040631206,12.3225642455836,0.21823838246086502,-8.979921712212775,39.3236425248369,598,1.0,False
smard_mean,d_shortfall,4,7.135805754395024,12.452841359623601,0.5666268788137776,-17.27131481565803,31.542926324448082,597,1.0,False
smard_mean,d_shortfall,5,21.505754731205023,11.23895112104481,0.05568382587450698,-0.5221846900488707,43.53369415245892,596,1.0,False
smard_mean,d_shortfall,6,13.399105306783692,14.577240029237778,0.35800150871601233,-15.171760144517958,41.96997075808534,595,1.0,False
smard_mean,d_shortfall,7,19.6705800837686,16.923320022581628,0.2450991052869862,-13.498517659336969,52.839677826874166,594,1.0,False
smard_mean,d_shortfall,8,18.23324105541844,14.231262638351671,0.20011978998795654,-9.659521170281305,46.12600328111819,593,1.0,False
smard_mean,d_shortfall,9,17.19873533017175,12.00902883138135,0.15210078587170658,-6.33852866863883,40.73599932898233,592,1.0,False
smard_mean,d_shortfall,10,13.067572040249663,10.047524292127699,0.19340352125209836,-6.625213706111927,32.76035778661125,591,1.0,False
smard_mean,d_shortfall,11,8.809574109613502,8.046311653435389,0.2735785563385057,-6.9609069395047936,24.580055158731795,590,1.0,False
smard_mean,d_shortfall,12,13.082492472293417,9.280375448344145,0.15862996533174767,-5.106709169470864,31.2716941140577,589,1.0,False
smard_mean,d_shortfall,13,13.018427442787647,9.081853729167877,0.15172788774509172,-4.781678779242174,30.81853366481747,588,1.0,False
smard_mean,d_shortfall,14,2.7424977970763504,9.916008122773345,0.7821081785996628,-16.69252099396604,22.17751658811874,587,1.0,False
