origin,horizon_week,target_week,actual,q05,q50,q95,covered_90,crps,backtest_type
2023-01-08,1,2023-01-15,73.21303571428572,-18.23838425846971,31.7822444743204,83.58052597208786,True,27.548132253972778,conditional_on_realised_gas_and_system_paths
2023-01-08,2,2023-01-22,147.2125,61.818433865544115,112.56328099065891,159.18773679123936,True,23.2396177543601,conditional_on_realised_gas_and_system_paths
2023-01-08,3,2023-01-29,170.26940476190475,108.36828633109678,161.18622657682272,207.010781861924,True,7.351608344187309,conditional_on_realised_gas_and_system_paths
2023-01-08,4,2023-02-05,114.39267857142856,15.583867092686928,71.96223335134209,125.93960842154532,True,29.71690019773965,conditional_on_realised_gas_and_system_paths
2023-01-08,5,2023-02-12,142.71922619047618,61.603625533210874,112.63722807247548,155.77746989589545,True,19.064154418707574,conditional_on_realised_gas_and_system_paths
2023-01-08,6,2023-02-19,126.8739880952381,38.4233420645157,92.39570545341817,138.78224714453938,True,23.429700989715435,conditional_on_realised_gas_and_system_paths
2023-01-08,7,2023-02-26,113.72089285714286,26.97242990531903,74.70375956320254,119.24459997761602,True,27.401594505203377,conditional_on_realised_gas_and_system_paths
2023-01-08,8,2023-03-05,136.23095238095237,58.342752223972155,106.35850931186647,147.91069069989285,True,19.92578522933404,conditional_on_realised_gas_and_system_paths
2023-01-08,9,2023-03-12,119.05452380952381,44.26157781442676,87.64909384275985,136.22472814082732,True,19.421403351961494,conditional_on_realised_gas_and_system_paths
2023-01-08,10,2023-03-19,93.65642857142858,-2.511233643052229,46.425901605564775,97.59649770721595,True,33.88903410111955,conditional_on_realised_gas_and_system_paths
2023-01-08,11,2023-03-26,76.21698757763976,-25.068433342905266,24.792383562380323,72.30987656933722,False,37.72861398553371,conditional_on_realised_gas_and_system_paths
2023-01-08,12,2023-04-02,89.16285714285713,-22.04662255610829,33.762198832700534,76.16026063165408,False,41.40129291977255,conditional_on_realised_gas_and_system_paths
2023-01-08,13,2023-04-09,120.38511904761904,27.731220954129988,77.09874334482781,121.18205395614783,True,29.90978292488519,conditional_on_realised_gas_and_system_paths
2023-04-09,1,2023-04-16,94.53696428571428,24.54058369857305,73.40111424843215,112.69720261739178,True,13.266250882428277,conditional_on_realised_gas_and_system_paths
2023-04-09,2,2023-04-23,98.77517857142857,-2.587447454554017,56.97262267477366,103.36575559971368,True,28.538571507686136,conditional_on_realised_gas_and_system_paths
2023-04-09,3,2023-04-30,100.47749999999999,9.281671118113723,63.10322046090699,105.72801497882575,True,24.519302727522586,conditional_on_realised_gas_and_system_paths
2023-04-09,4,2023-05-07,93.0722619047619,0.9684626104775196,55.56639988297744,102.13752807817777,True,23.49398590182889,conditional_on_realised_gas_and_system_paths
2023-04-09,5,2023-05-14,95.12880952380952,14.23216964331762,65.07697196812117,115.66833182170863,True,17.505519035285463,conditional_on_realised_gas_and_system_paths
2023-04-09,6,2023-05-21,74.4302380952381,-24.653957486386965,29.836719030049313,79.23873661325939,True,29.96690046220234,conditional_on_realised_gas_and_system_paths
2023-04-09,7,2023-05-28,73.32130952380952,-33.1275497576807,22.587734247673943,70.48315059769779,False,35.28165780320451,conditional_on_realised_gas_and_system_paths
2023-04-09,8,2023-06-04,63.06654761904762,-62.97431913198438,1.692873758961563,52.9442782762293,False,43.657041591135325,conditional_on_realised_gas_and_system_paths
2023-04-09,9,2023-06-11,79.55755952380953,-40.683185202883756,17.356219538680925,66.95318389359046,False,45.54410499445885,conditional_on_realised_gas_and_system_paths
2023-04-09,10,2023-06-18,104.96523809523809,-21.150562955498337,38.29432583286083,93.50076151441219,False,48.036198338543706,conditional_on_realised_gas_and_system_paths
2023-04-09,11,2023-06-25,107.28678571428573,3.1411507717768115,55.393937745147035,100.40872949232156,False,38.01089690288815,conditional_on_realised_gas_and_system_paths
2023-04-09,12,2023-07-02,78.9432738095238,-25.820235023015364,33.69430202017958,87.22682827476191,True,30.74160575112711,conditional_on_realised_gas_and_system_paths
2023-04-09,13,2023-07-09,84.26279761904762,-53.79113887656203,4.40637503697239,53.677830122383256,False,63.70227940002243,conditional_on_realised_gas_and_system_paths
2023-07-09,1,2023-07-16,78.56886904761905,-17.03341674005957,43.664568153542135,92.52878502383437,True,23.25527802376469,conditional_on_realised_gas_and_system_paths
2023-07-09,2,2023-07-23,84.8952380952381,-22.226948079817227,44.1796348216441,93.97647538380436,True,27.037984061631118,conditional_on_realised_gas_and_system_paths
2023-07-09,3,2023-07-30,84.02708333333332,-15.623149699870648,46.932935491358364,95.97871648911176,True,23.883169031196626,conditional_on_realised_gas_and_system_paths
2023-07-09,4,2023-08-06,72.9872619047619,-35.334153686897764,34.02128681495793,91.14589835153204,True,25.352602582992308,conditional_on_realised_gas_and_system_paths
2023-07-09,5,2023-08-13,66.82880952380951,-25.535961850296125,37.241721477014636,91.25205939747853,True,18.072768821020656,conditional_on_realised_gas_and_system_paths
2023-07-09,6,2023-08-20,100.42886904761905,3.035673435890997,78.61871755226788,141.82633320883588,True,13.885663493991974,conditional_on_realised_gas_and_system_paths
2023-07-09,7,2023-08-27,121.77613095238095,24.391957054863447,86.01761687210244,141.19483635328737,True,22.033350539257828,conditional_on_realised_gas_and_system_paths
2023-07-09,8,2023-09-03,106.73607142857144,25.47215493861524,90.40742659853939,145.64314410196124,True,11.284774488941348,conditional_on_realised_gas_and_system_paths
2023-07-09,9,2023-09-10,100.51845238095237,1.283785482973707,69.40244548539911,127.46823110183118,True,19.798015167221106,conditional_on_realised_gas_and_system_paths
2023-07-09,10,2023-09-17,115.10327380952381,6.858163313504803,81.74498095635084,140.13230814208586,True,21.21895267259883,conditional_on_realised_gas_and_system_paths
2023-07-09,11,2023-09-24,79.6647619047619,-24.72676682900829,36.22633369670848,98.26410659905612,True,27.258854141897345,conditional_on_realised_gas_and_system_paths
2023-07-09,12,2023-10-01,106.05583333333333,-10.654285094952725,56.980032940672295,120.1374334755034,True,30.142085321823167,conditional_on_realised_gas_and_system_paths
2023-07-09,13,2023-10-08,74.20065476190476,-54.76777503482504,12.837284391760878,66.26689113062027,False,43.68249047794379,conditional_on_realised_gas_and_system_paths
2023-10-08,1,2023-10-15,77.92172619047619,8.17776770410699,56.475114400846365,97.97045555894957,True,13.10838359502522,conditional_on_realised_gas_and_system_paths
2023-10-08,2,2023-10-22,94.45434523809523,16.778646541713787,79.47592617226891,123.61565412667893,True,10.64959749358918,conditional_on_realised_gas_and_system_paths
2023-10-08,3,2023-10-29,101.91535476190475,49.75425928836836,102.84941714900117,148.3549224799919,True,6.895867370130219,conditional_on_realised_gas_and_system_paths
2023-10-08,4,2023-11-05,61.68553571428571,-3.664824313318256,54.94039147251243,105.04548477966686,True,7.743849656295911,conditional_on_realised_gas_and_system_paths
2023-10-08,5,2023-11-12,92.50904761904762,-3.0852191176071653,56.57518657614777,103.4555919102222,True,23.406634503660115,conditional_on_realised_gas_and_system_paths
2023-10-08,6,2023-11-19,90.19678571428571,9.664953520321767,66.21449885702924,115.21084984376145,True,14.080022894364838,conditional_on_realised_gas_and_system_paths
2023-10-08,7,2023-11-26,96.50464285714285,14.15358166013709,67.15577726510642,111.74761101056329,True,17.728724873916253,conditional_on_realised_gas_and_system_paths
2023-10-08,8,2023-12-03,131.8217261904762,68.17995438881435,131.04516636989666,176.9425722165994,True,6.5149343201466365,conditional_on_realised_gas_and_system_paths
2023-10-08,9,2023-12-10,101.46565476190476,44.09733346117146,101.26748752042926,142.0972914704228,True,5.87622218896445,conditional_on_realised_gas_and_system_paths
2023-10-08,10,2023-12-17,85.70386904761905,21.875016794145143,81.89129052291852,126.74512025968997,True,6.26801277295063,conditional_on_realised_gas_and_system_paths
2023-10-08,11,2023-12-24,41.65392857142858,-68.6019025388039,-15.032682376486957,27.95458682095442,False,42.00568340894928,conditional_on_realised_gas_and_system_paths
2023-10-08,12,2023-12-31,20.687916666666666,-125.47753481717666,-54.80510837419776,0.8155213574940459,False,56.918085801263345,conditional_on_realised_gas_and_system_paths
2023-10-08,13,2024-01-07,66.61452380952382,-67.57461766750868,1.9074031305782375,53.309479905297394,False,47.42103233834344,conditional_on_realised_gas_and_system_paths
2024-01-07,1,2024-01-14,98.5539880952381,46.2427203242288,100.19937069189058,137.23537290413057,True,4.999002053598266,conditional_on_realised_gas_and_system_paths
2024-01-07,2,2024-01-21,83.20113095238095,17.71185102646551,75.95643882219869,118.72514010513642,True,6.403544087800748,conditional_on_realised_gas_and_system_paths
2024-01-07,3,2024-01-28,57.15904761904762,-18.789453993421517,28.213926878736704,69.60841261841766,True,18.678497365854703,conditional_on_realised_gas_and_system_paths
2024-01-07,4,2024-02-04,59.92136904761905,-32.67489018183022,29.16496821682626,77.66525908549607,True,20.595265741918034,conditional_on_realised_gas_and_system_paths
2024-01-07,5,2024-02-11,64.79946428571428,-12.110507153245356,42.73066271457141,83.75752607204248,True,13.460089625926862,conditional_on_realised_gas_and_system_paths
2024-01-07,6,2024-02-18,66.64910714285715,17.77448049273769,76.18321705820954,117.83130435448881,True,7.320135859985889,conditional_on_realised_gas_and_system_paths
2024-01-07,7,2024-02-25,57.003571428571426,6.028290084662209,56.02452645714552,98.04919042225585,True,5.166233582357835,conditional_on_realised_gas_and_system_paths
2024-01-07,8,2024-03-03,67.26196428571428,51.722747129570074,103.45188060710711,153.0699133910639,True,23.144916822566465,conditional_on_realised_gas_and_system_paths
2024-01-07,9,2024-03-10,64.51214285714286,32.059338452112826,84.2405121985512,124.79946544065119,True,11.451270286246546,conditional_on_realised_gas_and_system_paths
2024-01-07,10,2024-03-17,66.53404761904763,40.47523483392327,94.23859456170558,142.98327119571377,True,17.057440955017974,conditional_on_realised_gas_and_system_paths
2024-01-07,11,2024-03-24,66.79202380952381,44.026050563343965,94.56870171533112,136.6449847065365,True,16.84722898148825,conditional_on_realised_gas_and_system_paths
2024-01-07,12,2024-03-31,60.68634057971014,44.28330635355152,90.84386895314283,127.39607555121022,True,18.59169175770584,conditional_on_realised_gas_and_system_paths
2024-01-07,13,2024-04-07,45.461369047619044,-7.029211085519508,51.301264642594774,89.18384348997252,True,6.483029747302911,conditional_on_realised_gas_and_system_paths
2024-04-07,1,2024-04-14,51.87214285714286,12.830396237797872,67.66616353167741,100.76854416790893,True,9.557914985290962,conditional_on_realised_gas_and_system_paths
2024-04-07,2,2024-04-21,70.92696428571428,26.015767027032183,86.31804893660342,128.36120014861567,True,9.494031603250594,conditional_on_realised_gas_and_system_paths
2024-04-07,3,2024-04-28,77.54577380952381,39.21554186945521,92.86975873362385,128.47940299708677,True,9.258569876487323,conditional_on_realised_gas_and_system_paths
2024-04-07,4,2024-05-05,56.87119047619048,21.8802827005859,74.61484784795461,105.9427688143456,True,10.16750204449523,conditional_on_realised_gas_and_system_paths
2024-04-07,5,2024-05-12,67.33178571428572,37.77398244317713,101.0076631959886,140.3498987691191,True,21.405020530185993,conditional_on_realised_gas_and_system_paths
2024-04-07,6,2024-05-19,49.12970238095238,-4.0836662382773286,64.16847506318813,106.2756130826582,True,8.677285609602734,conditional_on_realised_gas_and_system_paths
2024-04-07,7,2024-05-26,79.55505952380952,34.56873858898275,87.5808398521437,126.15539091744331,True,5.9828014682311625,conditional_on_realised_gas_and_system_paths
2024-04-07,8,2024-06-02,77.95154761904762,39.46734379769224,96.49716748624903,145.09236398319288,True,10.918020602321107,conditional_on_realised_gas_and_system_paths
2024-04-07,9,2024-06-09,78.40494047619049,36.072148688651964,85.7723327527238,125.15256283055245,True,6.085318548158847,conditional_on_realised_gas_and_system_paths
2024-04-07,10,2024-06-16,63.95607142857143,21.051617029469096,70.13452671581703,114.13339242302835,True,5.723530835068281,conditional_on_realised_gas_and_system_paths
2024-04-07,11,2024-06-23,81.15089285714285,52.737320324322525,100.49043432881285,140.1667364419774,True,11.179953415288736,conditional_on_realised_gas_and_system_paths
2024-04-07,12,2024-06-30,77.12351190476191,37.287361841113075,93.32567606820709,135.3056184087071,True,9.676696164655759,conditional_on_realised_gas_and_system_paths
2024-04-07,13,2024-07-07,51.32619047619047,14.583445927654653,66.65021260831199,99.42219432614327,True,9.440036900670181,conditional_on_realised_gas_and_system_paths
2024-07-07,1,2024-07-14,68.58125,28.680534662143245,66.23278029095678,103.33078217638675,True,4.619322030647714,conditional_on_realised_gas_and_system_paths
2024-07-07,2,2024-07-21,71.04523809523809,12.553605485343628,71.30763170805122,113.07760496763906,True,4.858878949074615,conditional_on_realised_gas_and_system_paths
2024-07-07,3,2024-07-28,76.23892857142857,41.37826797882435,83.82190665495352,122.20985127931785,True,6.116146008490723,conditional_on_realised_gas_and_system_paths
2024-07-07,4,2024-08-04,79.18940476190475,47.09094024898724,94.1379973588905,140.50418373238176,True,9.183607238193424,conditional_on_realised_gas_and_system_paths
2024-07-07,5,2024-08-11,75.8260119047619,36.42202037986836,89.58109718357963,128.112615814233,True,8.653823948252175,conditional_on_realised_gas_and_system_paths
2024-07-07,6,2024-08-18,96.4070238095238,43.73417861727639,103.39171347324242,146.12562489009946,True,6.329229567590659,conditional_on_realised_gas_and_system_paths
2024-07-07,7,2024-08-25,60.96738095238095,16.133654013302213,58.76337119338636,97.6373544631021,True,5.446903471857306,conditional_on_realised_gas_and_system_paths
2024-07-07,8,2024-09-01,92.37833333333333,19.201494226979776,73.76904746370204,118.11851070612957,True,11.462246452543788,conditional_on_realised_gas_and_system_paths
2024-07-07,9,2024-09-08,98.32386904761904,30.346640822626647,75.24836400313295,115.10290458898993,True,13.994404353982448,conditional_on_realised_gas_and_system_paths
2024-07-07,10,2024-09-15,79.8314880952381,26.801553006046575,76.36757743819959,119.58794904490789,True,5.5102069201527435,conditional_on_realised_gas_and_system_paths
2024-07-07,11,2024-09-22,80.25511904761905,4.371515972003139,65.7433670067736,105.4210041478231,True,9.520442653298188,conditional_on_realised_gas_and_system_paths
2024-07-07,12,2024-09-29,63.63642857142857,-3.661522674852063,55.70612258496151,97.27755808473212,True,6.984957827557455,conditional_on_realised_gas_and_system_paths
2024-07-07,13,2024-10-06,72.37672619047619,20.98757995722744,73.03523113333935,110.88378979177487,True,5.116276819200392,conditional_on_realised_gas_and_system_paths
2024-10-06,1,2024-10-13,68.2167857142857,17.351032542131605,60.78326521276061,95.19996167126473,True,5.684969764670875,conditional_on_realised_gas_and_system_paths
2024-10-06,2,2024-10-20,75.78303571428572,50.0459659312506,90.58251388530618,135.988046055115,True,8.881892314595943,conditional_on_realised_gas_and_system_paths
2024-10-06,3,2024-10-27,100.64265476190477,65.41112299012114,109.71267264045092,149.4972200650429,True,6.756116454246978,conditional_on_realised_gas_and_system_paths
2024-10-06,4,2024-11-03,108.32255952380953,68.07121851103398,117.74358302838215,154.72334045239083,True,6.888149701319467,conditional_on_realised_gas_and_system_paths
2024-10-06,5,2024-11-10,146.19988095238097,112.80809362371772,159.40645835158335,203.63306298338284,True,8.539342487160784,conditional_on_realised_gas_and_system_paths
2024-10-06,6,2024-11-17,120.28648809523811,78.85563145022688,132.0847106830131,175.760480980611,True,7.727329676046081,conditional_on_realised_gas_and_system_paths
2024-10-06,7,2024-11-24,94.03208333333335,35.13709665615409,76.35338685565212,112.13522317115229,True,10.512021792497915,conditional_on_realised_gas_and_system_paths
2024-10-06,8,2024-12-01,101.84345238095239,34.860978928470416,81.53647633733638,117.12009528696197,True,13.126350964192213,conditional_on_realised_gas_and_system_paths
2024-10-06,9,2024-12-08,114.12017857142857,53.0399084826406,103.95483741848895,143.1088057586671,True,7.167270809786476,conditional_on_realised_gas_and_system_paths
2024-10-06,10,2024-12-15,176.84916666666666,81.74796461486301,129.412516457913,166.5760767787024,False,35.41106807551114,conditional_on_realised_gas_and_system_paths
2024-10-06,11,2024-12-22,51.91708333333333,-3.3599563524378615,39.0928074977072,76.66240199982691,True,8.050996083113668,conditional_on_realised_gas_and_system_paths
2024-10-06,12,2024-12-29,103.2467261904762,54.66090026352838,102.1246077320276,147.84007708344274,True,5.674191943507228,conditional_on_realised_gas_and_system_paths
2024-10-06,13,2025-01-05,73.87059523809523,17.900219058667837,61.77138742544879,104.94658379711923,True,7.910999939040401,conditional_on_realised_gas_and_system_paths
2025-01-05,1,2025-01-12,90.55660714285715,29.262427051811187,77.5750828524213,119.24998272970377,True,8.138038651748591,conditional_on_realised_gas_and_system_paths
2025-01-05,2,2025-01-19,147.92809523809524,105.55933840075605,159.56854195966366,205.57445227989393,True,8.188172370958819,conditional_on_realised_gas_and_system_paths
2025-01-05,3,2025-01-26,134.9835119047619,99.23848987501633,143.31657850058303,183.6953679850755,True,6.13116755252622,conditional_on_realised_gas_and_system_paths
2025-01-05,4,2025-02-02,117.11511904761905,81.20105223282513,138.94242723272822,177.56540841991438,True,13.484939920144146,conditional_on_realised_gas_and_system_paths
2025-01-05,5,2025-02-09,135.3125,106.45964193462845,152.9659850418017,190.70098124655524,True,10.354778446140912,conditional_on_realised_gas_and_system_paths
2025-01-05,6,2025-02-16,144.82119047619048,123.95177612814932,171.29110906051227,211.80730461647943,True,16.162569125884147,conditional_on_realised_gas_and_system_paths
2025-01-05,7,2025-02-23,106.25874999999999,87.34727115597423,129.45876115012106,167.63449678163354,True,14.05081039170759,conditional_on_realised_gas_and_system_paths
2025-01-05,8,2025-03-02,119.43863095238093,101.47629717682716,144.50639131145684,190.10888243398145,True,15.72638398129276,conditional_on_realised_gas_and_system_paths
2025-01-05,9,2025-03-09,93.49660714285713,72.79010217636258,111.63624378627603,152.32892953481212,True,10.644819814777799,conditional_on_realised_gas_and_system_paths
2025-01-05,10,2025-03-16,110.6217857142857,102.54852635441524,155.37586052443265,196.9147345824925,True,32.52365827772273,conditional_on_realised_gas_and_system_paths
2025-01-05,11,2025-03-23,77.91303571428571,66.11877041211896,108.30708860295822,144.05403730098203,True,19.132668680242613,conditional_on_realised_gas_and_system_paths
