scenario,week_end,horizon_week,q05,q25,q50,q75,q95,mean
renewed_restriction,2026-09-06,1,88.72296790162345,120.19978992573968,136.83549192446839,152.9164945048226,179.41134023694124,135.92434165895534
renewed_restriction,2026-09-13,2,87.88213689060981,122.46332075412609,141.50677214422277,160.1537435924125,190.3424865031821,140.46792619177154
renewed_restriction,2026-09-20,3,92.64659216749322,126.98129433950142,146.67292519720866,163.88723485225256,190.98293775767786,144.82351606321004
renewed_restriction,2026-09-27,4,97.07728472136976,131.63168394466632,149.78941174515282,167.2802046212463,194.35405342243203,148.76545254104522
renewed_restriction,2026-10-04,5,95.94349629277048,132.3302918840888,152.44131785826926,170.3587444304468,196.5828819879891,150.33809873073736
renewed_restriction,2026-10-11,6,96.35460528866649,132.04858874052894,151.50709011170704,171.35194047799087,201.2113530749357,150.63615620170137
renewed_restriction,2026-10-18,7,98.3482826094038,134.05891935474176,154.7779048683777,175.2697990150074,207.63234557577212,154.19886193312263
renewed_restriction,2026-10-25,8,98.76334768938227,136.2192730970255,157.68666640366345,178.46035120616145,210.8970467613771,156.66585617977404
renewed_restriction,2026-11-01,9,108.53452702317061,141.36668130793313,161.17657366514453,180.71975761311404,211.5624988800014,160.4241511060439
renewed_restriction,2026-11-08,10,108.46141370944274,144.6509521562202,165.50237651470175,185.0957405965688,216.6832721094494,164.34025852799826
renewed_restriction,2026-11-15,11,111.90791794171497,147.54567870286095,168.49710940661703,187.99394488256894,219.74915088277066,167.423044813919
renewed_restriction,2026-11-22,12,117.12912536188651,152.2250057729533,172.5308287549684,192.87840516009157,224.85762386277685,171.59867919548972
renewed_restriction,2026-11-29,13,110.88988905936107,152.87081280851044,173.57326789106926,193.13838345840998,221.552413094725,171.5291766752064
status_quo,2026-09-06,1,79.2070471738197,115.33345435156862,131.63218591926827,147.3745066321016,173.80132127264596,130.3505067570662
status_quo,2026-09-13,2,76.66613844966868,113.60843790879636,131.4896450146573,148.25220334776972,177.32846350294787,129.89589972593447
status_quo,2026-09-20,3,78.30016127534708,113.1727091598891,131.48390019713992,148.46781769084194,174.79443085463555,129.8968253936806
status_quo,2026-09-27,4,81.96723821175337,115.50902295184109,133.0424607135087,150.00768663347324,176.96753593422932,131.52329271628952
status_quo,2026-10-04,5,78.8273464041199,112.24885596668997,131.4461527390689,149.08853626535287,173.79908140337048,129.85159767106853
status_quo,2026-10-11,6,75.98929356775113,111.06053937463714,129.9317887079606,148.2400845535598,175.86404003013044,128.70487375311149
status_quo,2026-10-18,7,80.62564172245251,112.84971857156162,132.25924627165017,151.79001314842202,183.18954241378304,132.03527093616435
status_quo,2026-10-25,8,80.4273385606753,114.42470916642647,134.20802194814374,155.27908099073144,187.73284469089307,134.1430096925758
status_quo,2026-11-01,9,84.79647121044862,117.35721773512387,136.37489470086814,155.39801070354164,185.29416326583035,135.98193878071498
status_quo,2026-11-08,10,84.96369185095409,119.06079503353924,139.08654656766413,158.84940603981477,191.11019769953083,138.55629613275215
status_quo,2026-11-15,11,86.77946065433507,122.15628631297295,142.68923960701434,162.4541004013739,191.78603625403795,141.46695952762732
status_quo,2026-11-22,12,91.53066857215832,126.3290500336781,145.7128030840829,165.10392641096396,198.0227637197629,145.0404476461819
status_quo,2026-11-29,13,85.52698286845049,127.32535130063016,147.58277701642123,165.71557981828676,194.92994885231965,145.3115829527105
normalisation,2026-09-06,1,72.27459312580585,105.10805256593011,121.37012431189643,137.64677815292902,161.84690310881265,120.1314603350822
normalisation,2026-09-13,2,54.681736158227984,91.14537410576516,109.51101091995832,127.33914231307709,154.58655951975032,108.13550562587037
normalisation,2026-09-20,3,45.3674189445552,81.6150420745909,100.81151281237794,118.24859514914945,144.8983713874564,99.21121033286886
normalisation,2026-09-27,4,43.41812356747485,77.03640478214729,94.75606590464392,111.97073435039368,140.8354434284424,93.93808551693849
normalisation,2026-10-04,5,36.34127208388872,70.09643598503254,88.69383279105719,107.16365392803002,132.64557135074512,87.4094073012608
normalisation,2026-10-11,6,27.26877255279217,62.91677160234659,82.39590447177966,100.63816615970404,129.3771673793217,80.84560749780373
normalisation,2026-10-18,7,29.63450493569231,61.61151635267798,81.6627365261179,102.10810125773679,134.52384504802652,81.41783374856013
normalisation,2026-10-25,8,26.627027430617456,60.84781981427318,81.70469164225459,101.8266380101496,133.9145043704183,80.94702520581829
normalisation,2026-11-01,9,26.14596096118738,62.79346443672404,82.32651661045,101.84066144116969,133.73234924103556,81.67014353184126
normalisation,2026-11-08,10,27.279142505289176,61.81900451951392,83.4111826957091,104.3025468983293,137.17245215395693,82.73735909236156
normalisation,2026-11-15,11,30.935762801368224,65.68385486513887,85.59473455969558,105.73057158343376,136.49489318389055,84.91048649059564
normalisation,2026-11-22,12,35.149798943152874,69.77783332006226,89.69236779113464,109.31467791049525,141.41008391736833,88.99367630692095
normalisation,2026-11-29,13,24.672105005276865,68.40762862639232,90.11018061478086,109.35076738278873,140.3252913345332,87.74894893835614
